description,issue_type,key,labels,summary
"The PAL API should have a general {{call_function}}.

The motivation for this was originally to be allow Bolt CLI to call {{run_task}}, but it seems better to allow calling any function.

The API needs refactoring as the current implementation does not allow performing multiple operations without setting up the entire context for each call.
There should also be methods for:
* creating a new instance of a data type
* creating a type instance
* evaluating puppet logic",New Feature,PUP-8102,[],"Refactor PAL API, add 'call_function' and more to the PAL API"
"This is easiest to describe with a simple code example

{code}
class example (
    Optional[String] $param = 'some non undef default value',
) {
    # $param can never be undef, no matter what you pass in
    # if you pass in undef, then the default is used
    # it's effectively impossible to ""disable"", even though it's Optional
}
{code}

Proposal:

I would like the {{Optional}} type to be an enum of the passed in data type, {{Undef}}, and {{false}}. If that were the case, I could pass {{false}} to the class above and achieve the desired results. This could *almost* be done today with {{Variant\[String, Boolean]}}, but then the user could pass in {{true}}, which isn't a member of the desired set of input values.",Bug,PUP-8101,[],Optional[] data type doesn't allow a parameter to be disabled
"The first step to being able to pluginsync module locale files from the master to the agent is to add a new mount in [file_serving/mount|https://github.com/puppetlabs/puppet/tree/master/lib/puppet/file_serving/mount] to find locale files in modules on the master. This mount point should be located at {{puppet:///locales}} and serve up the {{locales/}} directory of each module, when present (not all modules have them). This is analogous to the existing {{plugins}} and {{pluginfacts}} mounts. You will likely have to add some methods to the [module class|https://github.com/puppetlabs/puppet/blob/master/lib/puppet/module.rb] to do things like detecting if there is a locale directory, and returning the path to it if it exists (we are currently only referencing it [here|https://github.com/puppetlabs/puppet/blob/master/lib/puppet/module.rb#L429].

Some documentation about server mountpoints and {{puppet:///}} URIs can be found here: https://puppet.com/docs/puppet/5.3/file_serving.html

Mount point tests live here https://github.com/puppetlabs/puppet/tree/master/spec/unit/file_serving/mount and should be augmented to exercise this new mountpoint.",Sub-task,PUP-8100,[],Create mountpoint for locale files on master
"When you create a zpool with disks using a full file system path, the zpool provider is not idempotent because it is not querying the status of zpools in a compatible way. Consider the following code and Puppet run:


{code:puppet}
zpool { 'zpool1':
  disk => '/dev/vg_os/lv_zfs',
}
{code}

{noformat}
[root@host ~]# puppet apply test.pp 
Notice: Compiled catalog for bunyip.yb.lmax in environment production in 0.06 seconds
Error: zpool disk can't be changed. should be /dev/vg_os/lv_zfs, currently is lv_zfs
Error: /Stage[main]/Main/Zpool[zpool1]/disk: change from lv_zfs to /dev/vg_os/lv_zfs failed: zpool disk can't be changed. should be /dev/vg_os/lv_zfs, currently is lv_zfs
Notice: Finished catalog run in 0.76 seconds
{noformat}

The problem comes from the provider using the ""zpool status POOLNAME"" command in order to find out what VDevs are in the pool.  That command will always return a relative path, so if the zpool is created with a fully qualified path the resource will always fail on a subsequent run.

The fix is to run ""zpool status -P POOLNAME"" which will return the full path, and I've got a PR for that coming.

The problem is if people have been doing this:

{code:puppet}
zpool { 'zpool1':
  disk => 'sda1',
}
{code}

Which works right now, but after the PR will cause the same problem.  I would argue that using relative paths to disk is not the best idea anyway (and the ZFS community has somewhat decided that using WWNs under /dev/disk/by-id/ is the way forward). However it's still a breaking change.",Bug,PUP-8099,"['community', 'solaris', 'triaged', 'type_and_provider', 'zfs']",Use VDev full path names for zpools
"The property 'acltype' is a valid ZFS property:


{noformat}
[root@host ~]# zfs get all zpool1/files | grep acltype
zpool1/files  acltype               posixacl               inherited from zpool1
{noformat}

",Bug,PUP-8098,['community'],Add 'acltype' to list of supported ZFS properties
"There are many different methods and set ups for using VM Pooler. This can be quite confusing for new comers trying to set up. We are also prevented from improving our processes as a group, where there is no standard documented process. 

Goals: 
# identify use cases for vm pooler
## agent only setup (VM)
## acceptance tests
## Server only with local agent -{color:#59afe1}Essential for Server development{color}
## Full PE set up (both VMs)
# identify methods for setting up vm pooler
# match use cases to methods
# document a standard process for our team
# identify and document shortcomings in the standard process (evaluate alternatives?)",Task,PUP-8097,[],Research: Evaluate VM Pooler processes in attempt to standardize
"Reproduction steps:
• Add a _new_ resource to site.pp
• Run {{puppet agent -t}} on the node
• Observe that the change is properly marked as intentional
• Modify the resource on disk
• Run {{puppet agent -t}} on the node
• Observe that the change is properly marked as corrective
• Modify the resource on disk
• Run {{puppet agent -t --tags faketag}} on the node (this can be done before or after the previous step)
• Observe that no change is made
• Run {{puppet agent -t}} on the node
• Observe that the change is _wrongly_ marked as intentional

The agent uses a transaction persistence file to store the previous desired state (or actual state? unclear) which it can compare to the current state on the next run. That file seems to only include resources that are actually managed on a given run, so any resource that is skipped due to tags is omitted. That causes the agent to think that every change is intentional the next time around.

I expect this is also broken for resources which are skipped due to failed dependencies, though I haven't tested that.",Bug,PUP-8096,['scr-candidate-irving'],Filtering resources by tag interferes with corrective vs. intentional change determination
"If you create 2 users.
ex test1 and test2 
{code}
  user { $user:
      home             => ""/home/${user}"",
      managehome       => true,
      purge_ssh_keys   => true,
      ensure           => ""present"",
    }
{code}
And then add 1 key to each
{code}
    ssh_authorized_key { $user:
      ensure => present,
      key    => $key,
      user   => $user,
    }
{code}
then you on the client machine, manual edit your authorized_keys and copy the entire line from test1 user to test2 users authorized_keys, that line will not be delete on next puppet run",Bug,PUP-8095,['the-goods'],"User {purge_ssh_keys => true, } not removing all keys"
"I have 2 environments, production and acceptance.

I have an environment group for Acceptance:

{code}
node_group { 'Acceptance Environment':
  ensure               => 'present',
  environment          => 'acceptance',
  id                   => '539f71ae-50d3-42f6-8201-289dba160ba5',
  override_environment => 'true',
  parent               => 'Production environment',
  rule                 => ['and',
  ['~',
    ['trusted', 'extensions', 'pp_role'],
    'agent']],
}
{code}

'Production Environment' node group has not been modified.

When I run puppet agent in a node with pp_role = agent, I confirm that it is using the right environment:

{code}
[root@10-32-175-131 ~]# puppet agent -t
Notice: Local environment: 'production' doesn't match server specified node environment 'acceptance', switching agent to 'acceptance'.
{code}

Yet when I try to do a lookup for that node, the data retrieved is from Production:

{code}
puppet lookup --node 10-32-175-131.rfc1918.puppetlabs.net message --explain
Searching for ""message""
  Global Data Provider (hiera configuration version 5)
    Using configuration ""/etc/puppetlabs/puppet/hiera.yaml""
    Hierarchy entry ""Classifier Configuration Data""
      No such key: ""message""
  Environment Data Provider (hiera configuration version 5)
    Using configuration ""/etc/puppetlabs/code/environments/production/hiera.yaml""
    Hierarchy entry ""Per-node data""
{code}

If I pin the node to the ""Acceptance Environment"" group, I get the right output for lookup:

{code}
node_group { 'Acceptance Environment':
  ensure               => 'present',
  environment          => 'acceptance',
  id                   => '539f71ae-50d3-42f6-8201-289dba160ba5',
  override_environment => 'true',
  parent               => 'Production environment',
  rule                 => ['or',
  ['and',
    ['~',
      ['trusted', 'extensions', 'pp_role'],
      'agent']],
  ['=', 'name', '10-32-175-131.rfc1918.puppetlabs.net']],
}
{code}

{code}
root@10-32-175-155.rfc1918.puppetlabs.net /root> puppet lookup --node 10-32-175-131.rfc1918.puppetlabs.net message --explain
Searching for ""message""
  Global Data Provider (hiera configuration version 5)
    Using configuration ""/etc/puppetlabs/puppet/hiera.yaml""
    Hierarchy entry ""Classifier Configuration Data""
      No such key: ""message""
  Environment Data Provider (hiera configuration version 5)
    Using configuration ""/etc/puppetlabs/code/environments/acceptance/hiera.yaml""
{code}

Found the issue in LTS, reproduced in 2017.3.0.

EDIT: A rule created with an out-of-the-box fact like domain honors the environment. A rule created with a trusted fact defaults to production. A mix of trusted + normal fact, like trusted.extensions.pp_role + domain defaults to production.",Bug,PUP-8094,[],Lookup ignores environment from the classifier when using rule with trusted facts
"1) Check that the version number in source for puppet is correct

  version for puppet should be 4.10.9

  * check {{lib/puppet/version.rb}} for the {{PUPPETVERSION}} variable
  * check .gemspec for {{version}} variable

",Task,PUP-8093,[],Bump puppet version to 4.10.9
"There are some concatenated strings in Puppet that are resulting in mistranslations because the translator doesn't have the full context of what the complete sentence is supposed to be, and cannot change the sentence order,

{code} [centos@ericdelaney lib]$ find . -type f -print | xargs grep '+= _'
./puppet/graph/simple_graph.rb:      message += _(""Cycle graph written to %{filename}."") % { filename: filename }
./puppet/graph/simple_graph.rb:      message += _(""Try the '--graph' option and opening the resulting '.dot' file in OmniGraffle or GraphViz"")
./puppet/parameter/value_collection.rb:      str += _(""Valid values are %{value_list}. "") % { value_list: values.join("", "") } unless values.empty?
./puppet/parameter/value_collection.rb:      str += _(""Valid values match %{pattern}."") % { pattern: regexes.join("", "") } unless regexes.empty?
./puppet/pops/lookup/lookup_adapter.rb:        msg += _("". A '%{config}' file should be used instead"") % { config: HieraConfig::CONFIG_FILE_NAME } if mp.nil?
./puppet/pops/lookup/lookup_adapter.rb:        msg += _("". A '%{config}' file should be used instead"") % { config: HieraConfig::CONFIG_FILE_NAME } if ep.nil?
[centos@ericdelaney lib]$
{code}

{code}
[centos@ericdelaney puppet]$ find lib -type f -print | xargs grep '_(' | grep '+'
lib/puppet/face/epp.rb:        raise Puppet::Error, _(""One or more file(s) specified did not exist:\n"") + missing_files.map { |f| ""   #{f}"" }.join(""\n"")
lib/puppet/face/epp.rb:          raise Puppet::Error, _(""One or more file(s) specified did not exist:\n"") + missing_files.collect { |f| ""   #{f}"" }.join(""\n"")
lib/puppet/face/help.rb:          summary = face.deprecated? ? face.summary + _("" (Deprecated)"") : face.summary
lib/puppet/face/module/build.rb:      _(""Module built: "") + return_value.expand_path.to_s
lib/puppet/face/module/list.rb:        str << '  ' + colorize(:red, _('invalid'))
lib/puppet/face/module/list.rb:          str << '  ' + colorize(:red, _('invalid'))
lib/puppet/face/parser.rb:        raise Puppet::Error, _(""One or more file(s) specified did not exist:\n%{files}"") % { files: missing_files.collect {|f| "" "" * 3 + f + ""\n""} }
lib/puppet/face/parser.rb:          dumps + _(""One or more file(s) specified did not exist:\n"") + missing_files.collect { |f| ""   #{f}"" }.join(""\n"")
lib/puppet/functions/slice.rb:      raise ArgumentError, _(""slice(): block must define one parameter, or "") +
lib/puppet/functions/slice.rb:        _(""the same number of parameters as the given size of the slice (%{slice_size}). Block has %{serving_size}; "") % { slice_size: slice_size, serving_size: serving_size }+
lib/puppet/graph/simple_graph.rb:      message += _(""Cycle graph written to %{filename}."") % { filename: filename }
lib/puppet/graph/simple_graph.rb:      message += _(""Try the '--graph' option and opening the resulting '.dot' file in OmniGraffle or GraphViz"")
lib/puppet/module_tool/errors/shared.rb:      trace += @source[1..-1].map { |m| _(""which depends on '%{name}' (%{version})"") % { name: m[:name], version: v(m[:version]) } }
lib/puppet/network/http/error.rb:      super(_(""Not Acceptable: "") + message, CODE, issue_kind)
lib/puppet/network/http/error.rb:      super(_(""Not Found: "") + message, CODE, issue_kind)
lib/puppet/network/http/error.rb:      super(_(""Not Authorized: "") + message, CODE, issue_kind)
lib/puppet/network/http/error.rb:      super(_(""Bad Request: "") + message, CODE, issue_kind)
lib/puppet/network/http/error.rb:      super(_(""Method Not Allowed: "") + message, CODE, issue_kind)
lib/puppet/network/http/error.rb:      super(_(""Unsupported Media Type: "") + message, CODE, issue_kind)
lib/puppet/network/http/error.rb:      super(_(""Server Error: "") + original_error.message, CODE, issue_kind)
lib/puppet/parameter/value_collection.rb:      str += _(""Valid values are %{value_list}. "") % { value_list: values.join("", "") } unless values.empty?
lib/puppet/parameter/value_collection.rb:      str += _(""Valid values match %{pattern}."") % { pattern: regexes.join("", "") } unless regexes.empty?
lib/puppet/pops/lookup/lookup_adapter.rb:        msg += _("". A '%{config}' file should be used instead"") % { config: HieraConfig::CONFIG_FILE_NAME } if mp.nil?
lib/puppet/pops/lookup/lookup_adapter.rb:            _(""Defining environment_data_provider='%{provider_name}' in environment.conf is deprecated"") % { provider_name: provider_name }, env_path + 'environment.conf')
lib/puppet/pops/lookup/lookup_adapter.rb:              _(""The environment_data_provider='%{provider_name}' setting is ignored since '%{config_path}' version >= 5"") % { provider_name: provider_name, config_path: config_path }, env_path + 'environment.conf')
lib/puppet/pops/lookup/lookup_adapter.rb:        msg += _("". A '%{config}' file should be used instead"") % { config: HieraConfig::CONFIG_FILE_NAME } if ep.nil?
lib/puppet/pops/model/ast_transformer.rb:    raise _(""Not a valid expression in a collection query: "")+o.class.name
lib/puppet/util/plist.rb:          Puppet.warning(_(""Cannot read file %{file_path}; Puppet is skipping it.\n"") % { file_path: file_path } + _(""Details: %{detail}"") % { detail: detail })
lib/puppet/util/reference.rb:    ""\n\n----------------\n\n*"" + _(""This page autogenerated on "") + ""#{Time.now}*\n""
lib/puppet/util/reference.rb:    text << _(""\n\n**This page is autogenerated; any changes will get overwritten** *(last generated on "") + ""#{Time.now.to_s})*\n\n""
{code}

{code}
/puppet/syntax_checkers/base64.rb
      if (cleaned_text.bytes.to_a.size * 8) % 6 != 0
        msg2 = _(""padding is not correct"")
      else
        msg2 = _(""contains letters outside strict base 64 range (or whitespace)"")
      end
      msg = _(""Base64 syntax checker: Cannot parse invalid Base64 string - %{msg2}"") % { msg2: msg2 }
{code}

{code}
[centos@ericdelaney puppet]$ find lib -type f -print | xargs grep '_(' | grep '<<'
lib/puppet/face/module/uninstall.rb:      Puppet.notice _(""Preparing to uninstall '%{name}'"") % { name: name } << (options[:version] ? "" (#{colorize(:cyan, options[:version].sub(/^(?=\d)/, 'v'))})"" : '') << "" ...""
lib/puppet/face/module/list.rb:        str << '  ' + colorize(:red, _('invalid'))
lib/puppet/face/module/list.rb:          str << '  ' + colorize(:red, _('invalid'))
lib/puppet/forge/errors.rb:      message = _(<<-EOS).chomp % { uri: @uri, response: @response }
lib/puppet/forge/errors.rb:      message << _(""\n  The message we received said '%{message}'"") % { message: @message } if @message
lib/puppet/module_tool/errors/installer.rb:      message << _(""Could not install module '%{module_name}' (%{version})"") % { module_name: @module_name, version: @requested_version }
lib/puppet/module_tool/errors/installer.rb:      message << _(""  Module '%{module_name}' (%{version}) is already installed"") % { module_name: @module_name, version: @installed_version }
lib/puppet/module_tool/errors/installer.rb:      message << _(""    Installed module has had changes made locally"") unless @local_changes.empty?
lib/puppet/module_tool/errors/installer.rb:      message << _(""    Use `puppet module upgrade` to install a different version"")
lib/puppet/module_tool/errors/installer.rb:      message << _(""    Use `puppet module install --force` to re-install only this module"")
lib/puppet/module_tool/errors/installer.rb:      message << _(""Could not install '%{requested_package}'"") % { requested_package: @requested_package }
lib/puppet/module_tool/errors/installer.rb:      message << _(""  No releases are available from %{source}"") % { source: @source }
lib/puppet/module_tool/errors/installer.rb:      message << _(""    Does '%{requested_package}' have at least one published release?"") % { requested_package: @requested_package }
lib/puppet/module_tool/errors/shared.rb:      message << _(""Could not %{action} module '%{module_name}' (%{version})"") % { action: @action, module_name: @requested_name, version: vstring }
lib/puppet/module_tool/errors/shared.rb:      message << _(""  No version of '%{module_name}' can satisfy all dependencies"") % { module_name: @requested_name }
lib/puppet/module_tool/errors/shared.rb:      message << _(""    Use `puppet module %{action} --ignore-dependencies` to %{action} only this module"") % { action: @action }
lib/puppet/module_tool/errors/shared.rb:      message << _(""Could not %{action} '%{module_name}' (%{version})"") % { action: @action, module_name: @module_name, version: vstring }
lib/puppet/module_tool/errors/shared.rb:        message << _(""  No releases are available from %{source}"") % { source: @source }
lib/puppet/module_tool/errors/shared.rb:        message << _(""    Does '%{module_name}' have at least one published release?"") % { module_name: @module_name }
lib/puppet/module_tool/errors/shared.rb:        message << _(""  No releases matching '%{version}' are available from %{source}"") % { version: @requested_version, source: @source }
lib/puppet/module_tool/errors/shared.rb:      message << _(""Could not install module '%{module_name}' (%{version})"") % { module_name: @requested_module, version: @requested_version }
lib/puppet/module_tool/errors/shared.rb:        message << _(""  Dependency '%{name}' (%{version}) would overwrite %{dir}"") % { name: @dependency[:name], version: v(@dependency[:version]), dir: @directory }
lib/puppet/module_tool/errors/shared.rb:        message << _(""  Installation would overwrite %{dir}"") % { dir: @directory }
lib/puppet/module_tool/errors/shared.rb:        message << _(""    Currently, '%{name}' (%{version}) is installed to that directory"") % { name: @metadata[""name""], version: v(@metadata[""version""]) }
lib/puppet/module_tool/errors/shared.rb:        message << _(""    Use `puppet module install --ignore-dependencies` to install only this module"")
lib/puppet/module_tool/errors/shared.rb:        message << _(""    Use `puppet module install --force` to install this module anyway"")
lib/puppet/module_tool/errors/shared.rb:      trace << _(""You specified '%{name}' (%{version})"") % { name: @source.first[:name], version: v(@requested_version) }
lib/puppet/module_tool/errors/shared.rb:      message << _(""Could not install module '%{module_name}' (%{version})"") % { module_name: @requested_module, version: v(@requested_version) }
lib/puppet/module_tool/errors/shared.rb:      message << _(""  No version of '%{module_name}' will satisfy dependencies"") % { module_name: @module_name }
lib/puppet/module_tool/errors/shared.rb:      message << _(""    Use `puppet module install --force` to install this module anyway"")
lib/puppet/module_tool/errors/shared.rb:      message << _(""Could not %{action} module '%{module_name}'"") % { action: @action, module_name: @module_name }
lib/puppet/module_tool/errors/shared.rb:      message << _(""  Module '%{module_name}' is not installed"") % { module_name: @module_name }
lib/puppet/module_tool/errors/shared.rb:      message << _(""    Use `puppet module install` to install this module"") if @action == :upgrade
lib/puppet/module_tool/errors/shared.rb:      message << _(""Could not %{action} module '%{module_name}'"") % { action: @action, module_name: @module_name }
lib/puppet/module_tool/errors/shared.rb:      message << _(""  Module '%{module_name}' appears multiple places in the module path"") % { module_name: @module_name }
lib/puppet/module_tool/errors/shared.rb:      message << _(""    Use the `--modulepath` option to limit the search to specific directories"")
lib/puppet/module_tool/errors/shared.rb:      message << _(""Could not %{action} module '%{module_name}' (%{version})"") % { action: @action, module_name: @module_name, version: vstring }
lib/puppet/module_tool/errors/shared.rb:      message << _(""  Installed module has had changes made locally"")
lib/puppet/module_tool/errors/shared.rb:      message << _(""    Use `puppet module %{action} --ignore-changes` to %{action} this module anyway"") % { action: @action }
lib/puppet/module_tool/errors/shared.rb:      message << _(""Could not %{action} module '%{module_name}'"") % { action: @action, module_name: @name }
lib/puppet/module_tool/errors/shared.rb:      message << _(""  Failure trying to parse metadata"")
lib/puppet/module_tool/errors/shared.rb:      message << _(""    Original message was: %{message}"") % { message: @error.message }
lib/puppet/module_tool/errors/uninstaller.rb:      message << _(""Could not uninstall module '%{module_name}' (%{version})"") % { module_name: @module_name, version: v(@version) }
lib/puppet/module_tool/errors/uninstaller.rb:      message << _(""  No installed version of '%{module_name}' matches (%{version})"") % { module_name: @module_name, version: v(@version) }
lib/puppet/module_tool/errors/uninstaller.rb:        message << _(""Could not uninstall module '%{module_name}' (v%{requested_version})"") % { module_name: @module_name, requested_version: @requested_version }
lib/puppet/module_tool/errors/uninstaller.rb:        message << _(""Could not uninstall module '%{module_name}'"") % { module_name: @module_name }
lib/puppet/module_tool/errors/uninstaller.rb:      message << _(""  Other installed modules have dependencies on '%{module_name}' (%{version})"") % { module_name: @module_name, version: v(@installed_version) }
lib/puppet/module_tool/errors/uninstaller.rb:      message << _(""    Use `puppet module uninstall --force` to uninstall this module anyway"")
lib/puppet/module_tool/errors/upgrader.rb:      message << _(""Could not upgrade module '%{module_name}' (%{version})"") % { module_name: @module_name, version: vstring }
lib/puppet/module_tool/errors/upgrader.rb:        message << _(""  The installed version is already the latest version matching %{version}"") % { version: vstring }
lib/puppet/module_tool/errors/upgrader.rb:        message << _(""  There are %{count} newer versions"") % { count: @newer_versions.length }
lib/puppet/module_tool/errors/upgrader.rb:        message << _(""    No combination of dependency upgrades would satisfy all dependencies"")
lib/puppet/module_tool/errors/upgrader.rb:          message << _(""    Dependencies will not be automatically upgraded across major versions"")
lib/puppet/module_tool/errors/upgrader.rb:          message << _(""    Upgrading one or more of these modules may permit the upgrade to succeed:"")
lib/puppet/module_tool/errors/upgrader.rb:      message << _(""    Use `puppet module upgrade --force` to upgrade only this module"")
lib/puppet/module_tool/errors/upgrader.rb:      message << _(""Could not %{action} module '%{module_name}' (%{version})"") % { action: @action, module_name: @module_name, version: vstring }
lib/puppet/module_tool/errors/upgrader.rb:      message << _(""  Downgrading is not allowed."")
lib/puppet/node/environment.rb:      errors << _(""The 'disable_per_environment_manifest' setting is true, and the '%{env_name}' environment has an environment.conf manifest that conflicts with the 'default_manifest' setting."") % { env_name: name }
lib/puppet/parser/resource.rb:      msg << _(' by %{source}') % { source: current.source.to_s } unless current.source.to_s == ''
lib/puppet/parser/resource.rb:      msg << _('; cannot redefine')
lib/puppet/provider/package/nim.rb:        errmsg << _(""with version '%{version}' "") % { version: version }
lib/puppet/reference/providers.rb:            details << _(""  - Missing files %{files}\n"") % { files: values.join("", "") }
lib/puppet/reference/providers.rb:                details << _(""  - Setting %{name} (currently %{value}) not in list %{facts}\n"") % { name: name, value: Puppet.settings.value(name).inspect, facts: facts.join("", "") }
lib/puppet/reference/providers.rb:                details << _(""  - Fact %{name} (currently %{value}) not in list %{facts}\n"") % { name: name, value: Facter.value(name).inspect, facts: facts.join("", "") }
lib/puppet/reference/providers.rb:            details << _(""  - Got %{values} true tests that should have been false\n"") % { values: values }
lib/puppet/reference/providers.rb:            details << _(""  - Got %{values} false tests that should have been true\n"") % { values: values }
lib/puppet/reference/providers.rb:            details << _(""  - Missing features %{values}\n"") % { values: values.collect { |f| f.to_s }.join("","") }
lib/puppet/util/log.rb:    annotated_string << _(""Backtrace:"") << ""\n"" << caller[0..10].join(""\n"")
lib/puppet/util/logging.rb:        arr << _('Wrapped exception:')
lib/puppet/util/logging.rb:      arr << _(""Wrapped exception:"")
lib/puppet/util/reference.rb:    text << _(""\n\n**This page is autogenerated; any changes will get overwritten** *(last generated on "") + ""#{Time.now.to_s})*\n\n""
{code}",Bug,PUP-8092,['i18n'],Concatenated strings causing breakages with Japanese group 2
"1) Check that the version number in source for puppet is correct

  version for puppet should be 5.3.3

  * check {{lib/puppet/version.rb}} for the {{PUPPETVERSION}} variable
  * check .gemspec for {{version}} variable

",Task,PUP-8091,[],Bump puppet version to 5.3.3
"Currently we are naively loading modules' translations whenever a Ruby instance of the Module class is created, in a way assumes that the locale files are located within the module's installed directory. This works on the master and when doing things like {{puppet apply}}, but agent runs get their data from {{$vardir}}, which is populated by pluginsync. We need to add hooks to load module translations from {{$vardir}} after pluginsyncing, and make sure we check both places (installed modules and {{$vardir}}) when invoking puppet applications, to ensure we get translations when and where we need them. This ticket mostly entails getting correct translation behavior, over optimizing, which is covered in PUP-8024.",Sub-task,PUP-8090,[],Load module translation files
"The second part of getting module translations visible on the the agent is to actually download the locale files along with the other module data. This involves the following steps:

- Add a new Downloader to the [DownloaderFactory|https://github.com/puppetlabs/puppet/blob/master/lib/puppet/configurer/downloader_factory.rb] for downloading locale files. This downloader should put the files into a directory structure like {{$vardir/locales/<locale>/<module_name>.po}}. For the time being, we should sync all of the available locales, not just the one detected on the system. This can be optimized later if needed.
- Add the relevant settings for the new downloader (e.g. {{localedest}} and {{localesource}}) to the [settings defaults|https://github.com/puppetlabs/puppet/blob/master/lib/puppet/defaults.rb#L1690-L1729].
- Add tests for the new Downloader to the [downloader factory specs|https://github.com/puppetlabs/puppet/blob/master/spec/unit/configurer/downloader_factory_spec.rb].
- Update the tests in the [plugin handler specs|https://github.com/puppetlabs/puppet/blob/master/spec/unit/configurer/plugin_handler_spec.rb] to exercise the locale downloader.

Other pieces may fall out of this, and other tests may need to be updated, but this is a good start. Note that this will not cause any module translations to actually be displayed; this ticket's other subtask describes the work needed to load the translation files from {{$vardir}} once they are present.",Sub-task,PUP-8089,[],Pluginsync locale files
"For an advanced hiera backends that open connections to a remote service it is not enough to simply throw away cached information as this may ""leak connections"". Just waiting for a GC to kick in and then expecting that it clears up a connection is not reliable and it may take a long time before such resources are freed. Depending on the implementation it may not even be freed until the ruby runtime is terminated.

The most natural would be to register a callback for a LookupContext cached key (or all keys). Using a lambda for this is however somewhat problematic if the backend is written in the Puppet Language as the lambda does not have access to the local scope it is defined in. It will work if the lookup context instance is given to it and if we document that this lambda only has access to the global scope + the lookup context given to it.

Preferably we would make a new implementation of Scope (that is not stupid), but that is a big thing.

Alternatives would be to register a named function that gets called with the lookup_context, or using  name convention such that {{mymodule::mybackend::on_evict(lookupcontext)}} gets called. Neither is very nice.

In addition to being able to set the on-eviction-lambda there must be a way to get the already set lambda (to avoid setting it again).

Suggest using {{on_evict(&block)}} for setting it and {{on_evict()}} for getting it, and where {{on_evict(false)}} would drop the registered lambda.

",Improvement,PUP-8088,[],add mechanism for cache eviction callback / finalizers
